Site,Yparm,method,rows,created,ownername,edited,transfer
CARDIVCO,Q      ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1516,....... ....
CARDIVCO,QC     ,LINEAR  ,21,91JUN03,CLORA    ,05MAY11 1510,....... ....
CARE    ,HH     ,GSSHIFT2,2,15-Nov-18,HYDROMET ,16AUG03 0913,....... ....
CARE    ,Q      ,GSLOG2  ,170,91APR01,LDEAVILA ,20AUG29 0510,....... ....
CARTERCO,AF     ,LINEAR  ,156,91JAN28,CLORA    ,05MAR11 1032,....... ....
CARTERCO,Q      ,LINEAR  ,60,91JUN03,GSANO    ,91JUN03 1507,....... ....
CASM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1344,....... ....
CASM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0818,....... ....
CASM    ,Q      ,GSLOG2  ,101,88OCT04,NPHELPS  ,20SEP15 0510,....... ....
CAWNE   ,QCT    ,LINEAR  ,25,10-Jul-16,WPECK    ,14JUL29 1316,....... ....
CAWY    ,QC     ,GSLOGLOG,9,8-May-20,CSCHWIEGE,08MAY20 0723,....... ....
CBCM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1348,....... ....
CBCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20MAY08 0841,....... ....
CBCM    ,Q      ,GSLOG2  ,129,88OCT04,NPHELPS  ,20AUG03 0510,....... ....
CBKM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1348,....... ....
CBKM    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB21 1131,....... ....
CBKM    ,Q      ,GSLOG2  ,40,88OCT04,NPHELPS  ,15JAN06 0510,....... ....
CBKS    ,ACE    ,ACECOEF ,25,94AUG15,CSCOTT   ,02MAY29 0949,....... ....
CBKS    ,OLD    ,LINEAR  ,125,94AUG24,LDEAVILA ,99APR23 1438,....... ....
CBKS    ,OLDACE ,ACECOEF ,42,94AUG15,CSCOTT   ,02MAY29 0944,....... ....
CCDT    ,AF     ,LINEAR  ,100,93NOV15,RMICHEL  ,12APR23 1352,....... ....
CCDT    ,AR     ,LINEAR  ,183,12-Apr-09,LDEAVILA ,12APR19 1646,....... ....
CCFRNE  ,OLD    ,GSLOGLOG,2,98APR30,LDEAVILA ,03APR29 1042,....... ....
CCFRNE  ,Q      ,GSLOGLOG,20,98APR30,MROUSE   ,10JUN29 0703,....... ....
CCNE    ,QC     ,LINEAR  ,44,00MAY15,LDEAVILA ,12JAN10 1303,....... ....
CCR     ,ACE    ,ACECOEF ,62,89MAY08,HYDROMET ,19SEP30 1522,....... ....
CCR     ,NJP    ,LINEAR  ,180,87JAN14,NPHELPS  ,99APR20 1029,....... ....
CCR     ,OLD    ,ACECOEF ,52,89MAY08,NPHELPS  ,01OCT05 1041,....... ....
CCR     ,QS     ,LINEAR  ,45,87FEB23,NPHELPS  ,15JUL21 1500,....... ....
CCWY    ,Q      ,GSLOGLOG,10,98APR27,MWELLS   ,19APR16 1139,....... ....
CDNE    ,Q      ,LINEAR  ,11,90JUL18,MMORGAN  ,20JUL15 0533,....... ....
CDNE    ,QC     ,LINEAR  ,414,99JUN07,LDEAVILA ,99JUN07 1443,....... ....
CEGM    ,HJ     ,GSSHIFT2,4,92JUL21,NPHELPS  ,11FEB28 1507,....... ....
CEGM    ,QC     ,GSLOGLOG,4,88APR14,NPHELPS  ,12FEB17 1030,....... ....
CFBM    ,HH     ,GSSHIFT2,1,92JUL21,NPHELPS  ,12JUN14 1414,....... ....
CFBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1204,....... ....
CFBM    ,Q      ,GSLOG2  ,2,88DEC28,KWEIDICH ,18FEB14 1046,....... ....
CFR     ,ACE    ,ACECOEF ,38,89MAY08,NPHELPS  ,98DEC16 1014,....... ....
CFR     ,ACEOLD ,ACECOEF ,102,89MAY08,NPHELPS  ,98OCT02 1123,....... ....
CFR     ,OLD    ,LINEAR  ,145,87JAN14,NPHELPS  ,94JUL05 1534,....... ....
CFRSAT  ,ACE    ,ACECOEF ,38,89MAY08,NPHELPS  ,98DEC01 1336,....... ....
