Site,Yparm,method,rows,created,ownername,edited,transfer
SFS     ,OFF    ,LINEAR  ,2,9-Aug-05,CSCHWIEGE,15JUN10 1108,....... ....
SFS     ,Q      ,GSLOG2  ,97,88DEC28,CSCHWIEGE,20SEP04 0510,....... ....
SFVY    ,HH     ,GSSHIFT2,3,1-Jun-04,CSCHWIEGE,15NOV20 1003,....... ....
SFVY    ,OFF    ,LINEAR  ,2,8-Jun-05,CSCHWIEGE,15JUL27 0723,....... ....
SFVY    ,Q      ,GSLOG2  ,73,88OCT04,CSCHWIEGE,20JUL18 0510,....... ....
SGWY    ,Q      ,LINEAR  ,66,96MAY09,CSCHWIEGE,09JUN12 1242,....... ....
SHAM    ,HH     ,GSSHIFT2,3,8-Mar-28,HYDROMET ,16OCT31 1329,....... ....
SHAM    ,Q      ,GSLOG2  ,82,8-Mar-28,LDEAVILA ,20JUL15 0510,....... ....
SHARESCO,AF     ,LINEAR  ,19,90JUL16,CLORA    ,11JAN28 1354,....... ....
SHER    ,ACE    ,ACECOEF ,39,89MAY08,NPHELPS  ,05OCT21 1405,....... ....
SHER    ,ACEOLD ,ACECOEF ,65,89MAY08,NPHELPS  ,05OCT21 1226,....... ....
SHER    ,NJP    ,LINEAR  ,69,87JAN14,NPHELPS  ,03OCT28 0732,....... ....
SHER    ,OLD    ,LINEAR  ,180,87JAN14,NPHELPS  ,02JAN14 1549,....... ....
SHER    ,QS     ,LINEAR  ,6,87FEB23,TFELCHLE ,89AUG21 1325,....... ....
SHR     ,ACE    ,ACECOEF ,15,95OCT19,RMICHEL  ,96DEC03 1029,....... ....
SHR     ,QS     ,LINEAR  ,74,87FEB24,LDEAVILA ,09MAR23 1259,....... ....
SHR     ,RAOLD  ,LINEAR  ,35,87MAR16,RMICHEL  ,11JUL19 0858,....... ....
SIDM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14JUN03 1115,....... ....
SIDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB21 1501,....... ....
SIDM    ,Q      ,GSLOG2  ,222,88AUG16,NPHELPS  ,20AUG25 0510,....... ....
SIWY    ,Q      ,GSLOGLOG,68,88AUG03,KBUCKALLE,17JAN20 0855,....... ....
SMGM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1407,....... ....
SMGM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19MAY22 0719,....... ....
SMGM    ,Q      ,GSLOG2  ,88,88OCT04,NPHELPS  ,20AUG03 0510,....... ....
SMIM    ,HJ     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1408,....... ....
SMIM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20JUN25 0644,....... ....
SMIM    ,QC     ,GSLOG2  ,71,88OCT04,NPHELPS  ,20JUN25 0510,....... ....
SMLM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14AUG14 0904,....... ....
SMLM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18JUL16 0705,....... ....
SMLM    ,Q      ,GSLOG2  ,58,88OCT04,NPHELPS  ,20FEB21 0510,....... ....
SMTT    ,HH     ,GSSHIFT2,3,4-Apr-20,LDEAVILA ,16APR22 0753,....... ....
SMTT    ,Q      ,GSLOG2  ,193,87JAN14,LDEAVILA ,19APR17 0510,....... ....
SNST    ,HH     ,GSSHIFT2,3,4-Aug-11,DKNUTESON,15SEP11 0847,....... ....
SNST    ,Q      ,GSLOG2  ,294,4-Aug-11,LDEAVILA ,20JUL29 0510,....... ....
SNYD    ,Q      ,GSLOGLOG,18,91APR01,GSANO    ,91APR05 0705,....... ....
SOAWKS  ,Q      ,GSLOGLOG,6,98APR30,MROUSE   ,10JUN29 0856,....... ....
SOGEKS  ,Q      ,GSLOGLOG,12,98APR30,MROUSE   ,10JUN29 0815,....... ....
SOGLKS  ,Q      ,GSLOGLOG,7,98APR30,MROUSE   ,06APR17 0943,....... ....
SOOSKS  ,Q      ,GSLOGLOG,10,98APR30,MROUSE   ,10JUN29 0820,....... ....
SOPRKS  ,Q      ,GSLOGLOG,10,98APR30,MROUSE   ,10JUN29 0806,....... ....
SPNE    ,QC     ,LINEAR  ,248,00MAY15,VWALZEM  ,11OCT25 0949,....... ....
SRAM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14JAN23 0922,....... ....
SRAM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19AUG27 0717,....... ....
SRAM    ,Q      ,GSLOG2  ,66,88OCT04,NPHELPS  ,20MAR12 0510,....... ....
SRBB    ,HH     ,GSSHIFT2,3,16-Jun-15,HYDROMET ,16JUN15 1537,....... ....
SRBB    ,Q      ,GSLOG2  ,20,88DEC28,HYDROMET ,16JUN15 1534,....... ....
SRBD    ,HH     ,GSSHIFT2,2,92JUL21,CJORDAN  ,20JUN04 0752,....... ....
SRBD    ,OFF    ,LINEAR  ,7,6-Aug-24,KWEIDICH ,20AUG12 0825,....... ....
SRBD    ,Q      ,GSLOG2  ,98,87JUL17,NPHELPS  ,20AUG03 0510,....... ....
SRBM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,13MAY16 0850,....... ....
SRBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0825,....... ....
SRBM    ,Q      ,GSLOG2  ,70,88OCT04,NPHELPS  ,20AUG03 0510,....... ....
SRBW    ,Q      ,GSLOGLOG,9,1-Apr-23,CSCHWIEGE,03APR17 1516,....... ....
SRDM    ,QR     ,LINEAR  ,191,90JUL17,NPHELPS  ,09DEC10 1551,....... ....
SREM    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,17AUG31 1051,....... ....
SREM    ,Q      ,GSLOG2  ,25,88OCT04,KWEIDICH ,18JUL13 1337,....... ....
SRLM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1405,....... ....
SRLM    ,OFF    ,LINEAR  ,2,6-Aug-24,CJORDAN  ,18MAY02 0919,....... ....
SRLM    ,Q      ,GSLOG2  ,66,88OCT04,NPHELPS  ,20FEB28 0510,....... ....
SRLY    ,       ,GSSHIFT2,2,19-Nov-01,KWEIDICH ,19NOV01 1020,....... ....
SRLY    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,19NOV01 1022,....... ....
SRLY    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19NOV01 1022,....... ....
SRLY    ,Q      ,GSLOG2  ,112,88DEC28,JDALLING ,20JUL18 0510,....... ....
SRSM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1346,....... ....
SRSM    ,OFF    ,LINEAR  ,4,6-Aug-24,KWEIDICH ,20AUG18 0737,....... ....
SRSM    ,Q      ,GSLOG2  ,100,88OCT04,NPHELPS  ,20AUG15 0510,....... ....
SRST    ,HH     ,GSSHIFT2,3,4-Mar-24,LDEAVILA ,16JUN02 1207,....... ....
SRST    ,Q      ,GSLOGLOG,362,3-May-30,LDEAVILA ,20AUG08 0510,....... ....
SRWY    ,Q      ,GSLOGLOG,8,96MAY09,JDALLING ,18JUL24 1347,....... ....
SRWY    ,QC     ,GSLOGLOG,4,96MAY09,CSCHWIEGE,14APR24 0743,....... ....
STMB    ,HH     ,GSSHIFT2,1,88OCT07,KWEIDICH ,18JAN19 0855,....... ....
STMB    ,OFF    ,LINEAR  ,5,6-Aug-24,KWEIDICH ,20JUL28 0749,....... ....
STMB    ,Q      ,GSLOG2  ,61,88DEC28,KWEIDICH ,20AUG29 0510,....... ....
STMC    ,HJ     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1408,....... ....
STMC    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20APR14 0959,....... ....
STMC    ,QC     ,GSLOG2  ,68,88APR14,NPHELPS  ,14SEP26 0750,....... ....
SUCT    ,HH     ,GSSHIFT2,3,92JUL21,LDEAVILA ,16MAY11 1547,....... ....
SUCT    ,Q      ,GSLOGLOG,206,87JAN14,LDEAVILA ,20SEP11 0510,....... ....
SUKT    ,HH     ,GSSHIFT2,3,92JUL21,DKNUTESON,16AUG22 0939,....... ....
SUKT    ,Q      ,GSLOG2  ,103,91APR24,LDEAVILA ,20JUL15 0510,....... ....
SUTT    ,HH     ,GSSHIFT2,2,92JUL21,HYDROMET ,15SEP11 1000,....... ....
SUTT    ,Q      ,GSLOG2  ,10,87JAN14,LDEAVILA ,09DEC04 0849,....... ....
SVCPLACO,Q      ,LINEAR  ,105,93JUN23,CLORA    ,02JUN06 1207,....... ....
SVSLYOCO,QC     ,LINEAR  ,47,1-Jun-12,CLORA    ,01JUN12 1050,....... ....
SWBM    ,Q      ,GSLOGLOG,9,88OCT04,SGUENTHNE,97JUN05 1517,....... ....
SWNE    ,Q      ,GSLOGLOG,12,3-Apr-29,MROUSE   ,10JUN29 0742,....... ....
SWTR    ,AF     ,LINEAR  ,149,88OCT27,NPHELPS  ,07SEP19 0709,....... ....
SWTR    ,QS     ,LINEAR  ,20,88APR26,NPHELPS  ,15SEP28 0706,....... ....
SWWY    ,Q      ,GSLOGLOG,3,88AUG03,AJENSEN  ,13APR24 1407,....... ....
SXBM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,15APR27 0730,....... ....
SXBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18AUG01 0955,....... ....
SXBM    ,Q      ,GSLOG2  ,75,88OCT04,NPHELPS  ,20SEP02 0510,....... ....
TCEDNE  ,Q      ,GSLOGLOG,2,98APR30,CSCOTT   ,05APR20 0804,....... ....
TCNPNE  ,OLD    ,GSLOGLOG,2,98APR30,WPECK    ,15MAY28 1216,....... ....
TCNPNE  ,Q      ,GSLOGLOG,5,3-Apr-24,WPECK    ,15OCT23 0628,....... ....
TCRVNE  ,Q      ,GSLOGLOG,22,98APR30,WPECK    ,13NOV20 1234,....... ....
TEST    ,HH     ,GSSHIFT2,2,92JUL21,HYDROMET ,17AUG22 0851,....... ....
TEST    ,Q      ,GSLOG2  ,36,88SEP14,HYDROMET ,17AUG22 0848,....... ....
TEST3456,AF     ,LINEAR  ,70,16-Apr-14,SYSTEM   ,16APR14 1150,....... ....
TETM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1350,....... ....
TETM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20FEB19 0841,....... ....
TETM    ,Q      ,GSLOG2  ,112,88OCT04,NPHELPS  ,19NOV06 0510,....... ....
TFMT    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB16 1417,....... ....
TFMT    ,OFF    ,LINEAR  ,5,6-Aug-24,KWEIDICH ,20AUG12 0811,....... ....
TFMT    ,Q      ,GSLOG2  ,99,88AUG18,NPHELPS  ,20APR10 0510,....... ....
TFOM    ,HH     ,GSSHIFT2,2,92JUL21,KWEIDICH ,18FEB20 1021,....... ....
TFOM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB20 1023,....... ....
TFOM    ,Q      ,GSLOG2  ,7,88OCT04,KWEIDICH ,18FEB20 1027,....... ....
TFWY    ,QC     ,GSLOGLOG,4,7-Jun-06,CSCHWIEGE,09JUL16 1338,....... ....
TLBM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1406,....... ....
TLBM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0833,....... ....
TLBM    ,Q      ,GSLOG2  ,71,88OCT04,SMICEK   ,20SEP03 0510,....... ....
TMRM    ,HH     ,GSSHIFT2,1,92JUL21,NPHELPS  ,14AUG14 1111,....... ....
TMRM    ,OFF    ,LINEAR  ,4,6-Aug-24,KWEIDICH ,20AUG03 0732,....... ....
TMRM    ,Q      ,GSLOG2  ,103,88DEC28,NPHELPS  ,20AUG03 0510,....... ....
TOMS    ,ACE    ,ACECOEF ,35,12-Apr-30,LDEAVILA ,12APR30 1320,....... ....
TOMS    ,AF     ,LINEAR  ,78,90OCT23,RMICHEL  ,12APR27 1117,....... ....
TOMT    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1343,....... ....
TOMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18OCT15 0707,....... ....
TOMT    ,Q      ,GSLOG2  ,112,88AUG22,NPHELPS  ,20JUN05 0510,....... ....
TRCM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1349,....... ....
TRCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19NOV08 0727,....... ....
TRCM    ,Q      ,GSLOG2  ,60,88OCT04,NPHELPS  ,20JAN24 0510,....... ....
TRDM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,15AUG28 0845,....... ....
TRDM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20MAR26 0608,....... ....
TRDM    ,Q      ,GSLOG2  ,106,88DEC28,NPHELPS  ,20MAR26 0510,....... ....
TRGT    ,ACE    ,ACECOEF ,58,18-Oct-24,HYDROMET ,18OCT24 1419,....... ....
TRGT    ,AF     ,LINEAR  ,116,87JUN19,LDEAVILA ,12MAY04 1543,....... ....
TRGT    ,AF_SC  ,LINEAR  ,21,87JUN19,RMICHEL  ,12MAY17 1616,....... ....
TRGT    ,AR     ,LINEAR  ,24,12-Apr-09,LDEAVILA ,12MAY04 1533,....... ....
TRGT    ,AR_SC  ,LINEAR  ,21,12-Apr-09,RMICHEL  ,12MAY18 0957,....... ....
TRGT    ,FW1    ,LINEAR  ,15,88APR26,PDAVIDSON,93APR07 1459,....... ....
TRGT    ,FW2    ,LINEAR  ,16,88APR26,PDAVIDSON,93APR07 1500,....... ....
TRGT    ,FW3    ,LINEAR  ,13,88APR26,PDAVIDSON,93APR07 1502,....... ....
TRGT    ,QS     ,LINEAR  ,18,87JUL09,RMICHEL  ,00MAY23 1131,....... ....
TRLM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14AUG14 0909,....... ....
TRLM    ,OFF    ,LINEAR  ,5,6-Aug-24,KWEIDICH ,20AUG12 0829,....... ....
TRLM    ,Q      ,GSLOG2  ,79,88OCT04,NPHELPS  ,20AUG15 0510,....... ....
TRMT    ,HH     ,GSSHIFT2,2,92JUL21,KWEIDICH ,18FEB20 1059,....... ....
TRMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB22 0805,....... ....
TRMT    ,Q      ,GSLOG2  ,8,88DEC28,KWEIDICH ,18FEB20 1106,....... ....
TRNE    ,ACE    ,ACECOEF ,34,20-Mar-18,HYDROMET ,20MAR18 1537,....... ....
TRNE    ,AF     ,LINEAR  ,131,94JAN03,HYDROMET ,20MAR17 1326,....... ....
TRNE    ,OLD    ,LINEAR  ,131,94JAN03,LDEAVILA ,02MAR13 1140,....... ....
TSNE    ,Q      ,GSLOGLOG,6,88AUG08,CSCHWIEGE,08SEP19 1051,....... ....
TSNE    ,QC     ,GSLOGLOG,34,90FEB24,BCANNON  ,10APR01 0800,....... ....
TURQ    ,ACE    ,ACECOEF ,26,94JUL20,CLORA    ,07JAN23 0905,....... ....
TURQ    ,AF     ,LINEAR  ,122,92DEC11,JMERCHEN ,92DEC11 1456,....... ....
TURQ    ,Q      ,LINEAR  ,0,92DEC11,JMERCHEN ,92DEC11 1455,....... ....
TWIRESCO,AF     ,LINEAR  ,118,87MAR05,CLORA    ,08JUN20 1123,....... ....
TWITUNCO,HH     ,GSSHIFT2,61,1-Mar-29,SYSTEM   ,19MAR25 1337,....... ....
TWITUNCO,Q      ,GSLOG2  ,150,90JUL17,RMICHEL  ,12NOV21 1350,....... ....
UHWY    ,       ,GSLOGLOG,4,18-Apr-05,JDALLING ,18APR05 0810,....... ....
UHWY    ,QC     ,GSLOGLOG,4,6-Mar-30,JDALLING ,18APR05 0810,....... ....
ULGE    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,13NOV15 1021,....... ....
ULGE    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20SEP15 0748,....... ....
ULGE    ,Q      ,GSLOG2  ,142,87SEP04,NPHELPS  ,19MAR16 0510,....... ....
UWAY    ,QC     ,GSLOGLOG,3,11-May-10,AHILL    ,16MAR25 0806,....... ....
VAMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1347,....... ....
VAMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,20AUG12 0826,....... ....
VAMT    ,Q      ,GSLOG2  ,81,88OCT04,NPHELPS  ,20AUG15 0510,....... ....
VIMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14NOV17 1505,....... ....
VIMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB22 0817,....... ....
VIMT    ,Q      ,GSLOG2  ,223,88OCT04,NPHELPS  ,19NOV22 0510,....... ....
VNMT    ,       ,GSSHIFT2,1,18-Feb-22,KWEIDICH ,18FEB22 0826,....... ....
VNMT    ,HH     ,GSSHIFT2,1,92JUL21,KWEIDICH ,18FEB22 0826,....... ....
VNMT    ,OFF    ,LINEAR  ,1,6-Aug-24,KWEIDICH ,18FEB22 0827,....... ....
VNMT    ,Q      ,GSLOG2  ,107,87APR27,NPHELPS  ,14SEP11 1328,....... ....
WAKS    ,ACE    ,ACECOEF ,43,94AUG15,CSCOTT   ,03MAR17 0755,....... ....
WAKS    ,OLD    ,LINEAR  ,111,94AUG25,LDEAVILA ,99APR23 1313,....... ....
WAKS    ,OLD2   ,ACECOEF ,21,94AUG15,CSCOTT   ,03MAR17 0722,....... ....
WASCH   ,HH     ,GSSHIFT2,3,15-Oct-28,DKNUTESON,16AUG03 0942,....... ....
WASCH   ,Q      ,GSLOG2  ,142,15-Oct-28,DKNUTESON,20JUL03 0510,....... ....
WBKS    ,ACE    ,ACECOEF ,50,94AUG15,LDEAVILA ,02OCT24 1608,....... ....
WBKS    ,OLDAF  ,LINEAR  ,89,94AUG24,LDEAVILA ,03MAR26 1309,....... ....
WCNE    ,ACE    ,ACECOEF ,5,2-May-21,CSCHWIEGE,02MAY21 1330,....... ....
WCR     ,ACE    ,ACECOEF ,30,89MAY08,NPHELPS  ,05OCT03 0829,....... ....
WCR     ,OLD    ,LINEAR  ,62,87JAN14,NPHELPS  ,05OCT03 0828,....... ....
WDDY    ,CNL    ,LINEAR  ,17,87MAR16,TFELCHLE ,92MAY20 1006,....... ....
WDDY    ,RVR    ,LINEAR  ,17,87MAR16,TFELCHLE ,92MAY22 1042,....... ....
WDWY    ,       ,GSLOGLOG,5,18-May-21,JDALLING ,18MAY21 0920,....... ....
WDWY    ,QC     ,GSLOGLOG,5,13-Aug-05,JDALLING ,18MAY21 0920,....... ....
WHWY    ,Q      ,GSLOGLOG,11,88AUG03,AJENSEN  ,12MAY04 1316,....... ....
WILCANCO,QC     ,LINEAR  ,22,95APR10,MHENNEBER,08JUL10 0645,....... ....
WILRESCO,AF     ,LINEAR  ,182,90JUL16,CLORA    ,03SEP19 1410,....... ....
WILWCRCO,       ,LINEAR  ,351,18-Mar-26,HYDROMET ,18MAR26 1309,....... ....
WILWCRCO,Q      ,LINEAR  ,26,94NOV01,HYDROMET ,20JUL31 0510,....... ....
WINBYPCO,Q      ,LINEAR  ,451,1-May-17,RMICHEL  ,13JUN18 1649,....... ....
WINDESCO,Q      ,LINEAR  ,301,1-May-09,RMICHEL  ,13JUN19 1311,....... ....
WISM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1339,....... ....
WISM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19APR10 0836,....... ....
WISM    ,Q      ,GSLOG2  ,58,88OCT04,NPHELPS  ,19DEC10 0510,....... ....
WLFRESCO,AF     ,LINEAR  ,91,94OCT28,CLORA    ,07JUN27 1317,....... ....
WLFRESCO,Q      ,LINEAR  ,62,94OCT28,CLORA    ,20JUL23 0510,....... ....
WPMT    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1403,....... ....
WPMT    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB22 0836,....... ....
WPMT    ,Q      ,GSLOG2  ,173,88AUG22,NPHELPS  ,19OCT11 0510,....... ....
WRBD    ,HH     ,GSSHIFT2,3,92JUL21,SYSTEM   ,16SEP21 0842,....... ....
WRBD    ,Q      ,GSLOG2  ,30,89JAN12,SYSTEM   ,16SEP21 0837,....... ....
WRBD    ,Q1     ,GSLOG2  ,29,89JAN12,NPHELPS  ,93MAY07 1557,....... ....
WRCH    ,HH     ,GSSHIFT2,3,92JUL21,MWELLS   ,19JUN26 1043,....... ....
WRCH    ,OFF    ,LINEAR  ,2,8-Jun-05,AHILL    ,18NOV06 1011,....... ....
WRCH    ,Q      ,GSLOG2  ,10,89SEP18,MWELLS   ,19JUN26 1127,....... ....
WRDY    ,HH     ,GSSHIFT2,3,92JUL21,CSCHWIEGE,15NOV05 1054,....... ....
WRDY    ,Q      ,GSLOG2  ,83,88DEC28,CSCHWIEGE,20AUG28 0510,....... ....
WRKY    ,       ,GSSHIFT2,3,18-Mar-26,JDALLING ,18MAR26 1415,....... ....
WRKY    ,HH     ,GSSHIFT2,3,92JUL21,CJORDAN  ,18MAR28 1140,....... ....
WRKY    ,OFF    ,LINEAR  ,2,12-Jun-08,CSCHWIEGE,15JUL17 1107,....... ....
WRKY    ,Q      ,GSLOG2  ,75,88NOV14,CSCHWIEGE,20SEP16 0510,....... ....
WRND    ,HH     ,GSSHIFT2,3,8-Apr-21,CSCHWIEGE,15OCT13 0757,....... ....
WRND    ,Q      ,GSLOG2  ,45,8-Apr-21,CSCHWIEGE,20JUL26 0510,....... ....
WRRY    ,HH     ,GSSHIFT2,3,92JUL21,JDALLING ,18MAR22 1359,....... ....
WRRY    ,OFF    ,LINEAR  ,2,6-Aug-24,CSCHWIEGE,15MAR26 1345,....... ....
WRRY    ,Q      ,GSLOG2  ,112,88NOV18,CSCHWIEGE,20AUG13 0510,....... ....
WRSH    ,HH     ,GSSHIFT2,3,92JUL21,HYDROMET ,16AUG03 0912,....... ....
WRSH    ,OLD    ,GSLOGLOG,44,92AUG31,LDEAVILA ,10SEP01 1104,....... ....
WRSH    ,Q      ,GSLOG2  ,104,92AUG31,LDEAVILA ,20AUG29 0510,....... ....
WRSY    ,HH     ,GSSHIFT2,2,92JUL21,CSCHWIEGE,15MAY27 1316,....... ....
WRSY    ,Q      ,GSLOG2  ,5,88DEC28,CSCHWIEGE,15MAY27 1315,....... ....
WRWD    ,       ,GSLOGLOG,4,18-Mar-26,MWELLS   ,20MAR26 1429,....... ....
WRWD    ,Q      ,GSLOGLOG,4,3-May-05,MWELLS   ,20MAY30 1941,....... ....
WURDITCO,GH     ,LINEAR  ,129,93MAR02,GSANO    ,93MAR02 1011,....... ....
WURDITCO,HH     ,GSSHIFT2,6,1-Mar-29,MHENNEBER,06MAY17 0636,....... ....
WURDITCO,Q      ,GSLOG2  ,21,95JUL11,MHENNEBER,06MAY17 0639,....... ....
WUREXTCO,Q      ,LINEAR  ,130,93JUN29,GSANO    ,93JUN29 1350,....... ....
WYCY    ,HJ     ,GSSHIFT2,3,6-May-26,JDALLING ,18APR13 1135,....... ....
WYCY    ,QC     ,GSLOGLOG,2,88NOV18,JDALLING ,18APR13 1135,....... ....
WYOC    ,QC     ,GSLOGLOG,5,15-May-27,CSCHWIEGE,15MAY27 1258,....... ....
YRCM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,12MAY03 1341,....... ....
YRCM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19SEP11 1305,....... ....
YRCM    ,Q      ,GSLOG2  ,112,88OCT04,NPHELPS  ,20JAN14 0510,....... ....
YRFM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,13AUG19 1453,....... ....
YRFM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,18FEB22 0913,....... ....
YRFM    ,Q      ,GSLOG2  ,136,88OCT04,NPHELPS  ,20AUG25 0510,....... ....
YRGM    ,HH     ,GSSHIFT2,2,92JUL21,NPHELPS  ,14SEP11 1407,....... ....
YRGM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19OCT02 0718,....... ....
YRGM    ,Q      ,GSLOG2  ,178,88OCT04,NPHELPS  ,20AUG25 0510,....... ....
YRLM    ,HH     ,GSSHIFT2,3,92JUL21,NPHELPS  ,14SEP11 1404,....... ....
YRLM    ,OFF    ,LINEAR  ,2,6-Aug-24,KWEIDICH ,19DEC16 0839,....... ....
YRLM    ,Q      ,GSLOG2  ,113,88DEC28,NPHELPS  ,20AUG25 0510,....... ....
ZURICHMT,QC     ,GSLOGLOG,8,90FEB22,NPHELPS  ,01MAY31 1035,....... ....
